Index,CBSAName,Population,YoYGrowth,UrbanSurburban
1,"Urban: New York-Newark-Jersey City, NY-NJ-PA",19005610,0.002,Urban
2,"Urban: Los Angeles-Long Beach-Anaheim, CA",13353907,0.002,Urban
3,"Urban: Chicago-Naperville-Elgin, IL-IN-WI",7435284,-0.003,Urban
4,"Urban: Dallas-Fort Worth-Arlington, TX",4839924,0.014,Urban
5,"Urban: Houston-The Woodlands-Sugar Land, TX",5223914,0.01,Urban
6,"Urban: Washington-Arlington-Alexandria, DC-VA-MD-WV",4852770,0.008,Urban
7,"Urban: Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4670487,0.003,Urban
8,"Urban: Miami-Fort Lauderdale-West Palm Beach, FL",4687674,0.007,Urban
9,"Urban: Atlanta-Sandy Springs-Roswell, GA",4012274,0.013,Urban
10,"Urban: Boston-Cambridge-Newton, MA-NH",3886413,0.006,Urban
11,"Urban: San Francisco-Oakland-Hayward, CA",4466402,0.007,Urban
12,"Urban: Phoenix-Mesa-Scottsdale, AZ", -   ,0,Urban
13,"Urban: Riverside-San Bernardino-Ontario, CA", -   ,0,Urban
14,"Urban: Detroit-Warren-Dearborn, MI",3875827,0.002,Urban
15,"Urban: Seattle-Tacoma-Bellevue, WA", -   ,0,Urban
16,"Urban: Minneapolis-St. Paul-Bloomington, MN-WI",1799998,0.011,Urban
17,"Urban: San Diego-Carlsbad, CA", -   ,0,Urban
18,"Urban: Tampa-St. Petersburg-Clearwater, FL",2379203,0.015,Urban
19,"Urban: Denver-Aurora-Lakewood, CO",1682874,0.014,Urban
20,"Urban: St. Louis, MO-IL",1666589,-0.003,Urban
21,"Urban: Baltimore-Columbia-Towson, MD",2338464,0.002,Urban
22,"Urban: Charlotte-Concord-Gastonia, NC-SC",1308203,0.019,Urban
23,"Urban: Orlando-Kissimmee-Sanford, FL",2157651,0.02,Urban
24,"Urban: San Antonio-New Braunfels, TX",1958578,0.016,Urban
25,"Urban: Portland-Vancouver-Hillsboro, OR-WA",807555,0.008,Urban
26,"Urban: Pittsburgh, PA",1354552,-0.004,Urban
27,"Urban: Sacramento--Roseville--Arden-Arcade, CA",1530615,0.011,Urban
28,"Urban: Cincinnati, OH-KY-IN",821022,0.005,Urban
29,"Urban: Las Vegas-Henderson-Paradise, NV", -   ,0,Urban
30,"Urban: Kansas City, MO-KS",1455361,0.009,Urban
31,"Urban: Austin-Round Rock, TX",1226698,0.018,Urban
32,"Urban: Cleveland-Elyria, OH",1478631,-0.003,Urban
33,"Urban: Columbus, OH",1703919,0.017,Urban
34,"Urban: Indianapolis-Carmel-Anderson, IN",1472121,0.011,Urban
35,"Urban: San Jose-Sunnyvale-Santa Clara, CA",1938153,0.003,Urban
36,"Urban: Nashville-Davidson--Murfreesboro--Franklin, TN",691243,0.003,Urban
37,"Urban: Virginia Beach-Norfolk-Newport News, VA-NC",1118798,-0.003,Urban
38,"Urban: Providence-Warwick, RI-MA",1247752,0.004,Urban
39,"Urban: Milwaukee-Waukesha-West Allis, WI",952085,-0.003,Urban
40,"Urban: Jacksonville, FL",1020655,0.014,Urban
41,"Urban: Oklahoma City, OK",787958,0.005,Urban
42,"Urban: Memphis, TN-MS-AR",976997,0,Urban
43,"Urban: Raleigh, NC",1138371,0.022,Urban
44,"Urban: Louisville/Jefferson County, KY-IN",818579,0.006,Urban
45,"Urban: Richmond, VA",627131,0.006,Urban
46,"Urban: New Orleans-Metairie, LA",832328,0.001,Urban
47,"Urban: Hartford-West Hartford-East Hartford, CT",1058798,0,Urban
48,"Urban: Salt Lake City, UT",1135649,0.013,Urban
49,"Urban: Birmingham-Hoover, AL",872802,0.002,Urban
50,"Urban: Buffalo-Cheektowaga-Niagara Falls, NY", -   ,0,Urban
51,"Urban: Rochester, NY",838312,0,Urban
52,"Urban: Grand Rapids-Wyoming, MI", -   ,0,Urban
53,"Urban: Tucson, AZ", -   ,0,Urban
54,"Suburban: New York-Newark-Jersey City, NY-NJ-PA",1315266,0.005,Suburban
55,"Suburban: Los Angeles-Long Beach-Anaheim, CA", -   ,0,Suburban
56,"Suburban: Chicago-Naperville-Elgin, IL-IN-WI",2097756,0.005,Suburban
57,"Suburban: Dallas-Fort Worth-Arlington, TX",2559738,0.032,Suburban
58,"Suburban: Houston-The Woodlands-Sugar Land, TX",1668513,0.026,Suburban
59,"Suburban: Washington-Arlington-Alexandria, DC-VA-MD-WV",1363125,0.019,Suburban
60,"Suburban: Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1425633,0.002,Suburban
61,"Suburban: Miami-Fort Lauderdale-West Palm Beach, FL",1471150,0.012,Suburban
62,"Suburban: Atlanta-Sandy Springs-Roswell, GA",1872462,0.021,Suburban
63,"Suburban: Boston-Cambridge-Newton, MA-NH",950118,0.008,Suburban
64,"Suburban: San Francisco-Oakland-Hayward, CA",260955,-0.002,Suburban
65,"Suburban: Phoenix-Mesa-Scottsdale, AZ",4737270,0.019,Suburban
66,"Suburban: Riverside-San Bernardino-Ontario, CA",4580670,0.013,Suburban
67,"Suburban: Detroit-Warren-Dearborn, MI",437175,0.003,Suburban
68,"Suburban: Seattle-Tacoma-Bellevue, WA",3867046,0.017,Suburban
69,"Suburban: Minneapolis-St. Paul-Bloomington, MN-WI",1800620,0.013,Suburban
70,"Suburban: San Diego-Carlsbad, CA",3337685,0.006,Suburban
71,"Suburban: Tampa-St. Petersburg-Clearwater, FL",712196,0.028,Suburban
72,"Suburban: Denver-Aurora-Lakewood, CO",1205353,0.011,Suburban
73,"Suburban: St. Louis, MO-IL",1140749,0.005,Suburban
74,"Suburban: Baltimore-Columbia-Towson, MD",469711,0.006,Suburban
75,"Suburban: Charlotte-Concord-Gastonia, NC-SC",1217102,0.021,Suburban
76,"Suburban: Orlando-Kissimmee-Sanford, FL",352180,0.042,Suburban
77,"Suburban: San Antonio-New Braunfels, TX",515396,0.034,Suburban
